utente/$/$/hotel,brec,drec,urec
A Traveler/$/$/Monterey Beach Dunes Inn,0.31,0.69,0.0
A Traveler/$/$/H��tel Sezz Paris,0.65,0.34,0.01
A Traveler/$/$/Super 8 Kansas City Airport,0.35,0.65,0.0
A Traveler/$/$/Best Western Hotel De Neuville,0.63,0.36,0.01
A Traveler/$/$/Mccamly Plaza Hotel,0.57,0.43,0.0
A Traveler/$/$/Wingate By Wyndham Pueblo,0.67,0.33,0.0
A Traveler/$/$/Hotel Roc Flamingo,0.55,0.44,0.01
A Traveler/$/$/Campus Inn & Suites Eugene Downtown,0.21,0.79,0.0
A Traveler/$/$/Super 8 Metropolis,0.16,0.84,0.0
A Traveler/$/$/Travelodge Ruther Glen,0.19,0.8,0.01
A Traveler/$/$/Hotel Garibaldi,0.58,0.42,0.0
A Traveler/$/$/Hampton Inn Virginia Beach Oceanfront North,0.72,0.28,0.0
A Traveler/$/$/Sleep Inn At Harbour View,0.18,0.82,0.0
A Traveler/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.62,0.38,0.0
A Traveler/$/$/Fiesta Inn and Suites,0.27,0.73,0.0
A Traveler/$/$/Holiday Inn Fond Du Lac,0.48,0.52,0.0
A Traveler/$/$/Arizona Inn of Prescott Valley,0.24,0.76,0.0
A Traveler/$/$/Microtel Inn and Suites By Wyndham Burlington,0.23,0.77,0.0
A Traveler/$/$/The Inn At Bella Vista,0.69,0.3,0.01
A Traveler/$/$/Quality Inn Long Beach Airport,0.31,0.69,0.0
A Traveler/$/$/Baymont Inn and Suites Boone,0.24,0.76,0.0
A Traveler/$/$/Brightwood Inn Country Inn,0.59,0.4,0.01
A Traveler/$/$/Holiday Inn Express Hotel and Suites Va Beach Oceanfront,0.66,0.34,0.0
A Traveler/$/$/Hotel Valencia Santana Row,0.72,0.28,0.0
A Traveler/$/$/Hampton Inn Grand Junction Downtown/historic Main Street,0.53,0.47,0.0
A Traveler/$/$/Lamothe House,0.59,0.41,0.0
A Traveler/$/$/Sleep Inn Slidell,0.54,0.45,0.01
A Traveler/$/$/Comfort Inn Huntingdon,0.59,0.41,0.0
A Traveler/$/$/Quality Inn and Suites Irvine Spectrum,0.2,0.8,0.0
A Traveler/$/$/Econo Lodge Bellmawr,0.23,0.77,0.0
A Traveler/$/$/Crossland Economy Studios - Lake Charles - Sulphur,0.23,0.77,0.0
A Traveler/$/$/Best Western Silicon Valley Inn,0.53,0.47,0.0
A Traveler/$/$/Days Inn Lanham Washington Dc,0.24,0.76,0.0
A Traveler/$/$/La Quinta Inn Auburn Worcester,0.62,0.38,0.0
A Traveler/$/$/Dockers Inn,0.57,0.43,0.0
A Traveler/$/$/Anaheim Marriott Suites,0.73,0.27,0.0
A Traveler/$/$/Monarch Inn,0.28,0.72,0.0
A Traveler/$/$/Wingate By Wyndham Chantilly / Dulles Airport,0.58,0.42,0.0
A Traveler/$/$/Days Inn and Suites Albany,0.2,0.8,0.0
A Traveler/$/$/Holiday Inn Express San Clemente,0.69,0.31,0.0
A Traveler/$/$/The Westin Buckhead,0.57,0.43,0.0
A Traveler/$/$/Hyatt Place Atlanta/alpharetta/north Point Mall,0.68,0.32,0.0
A Traveler/$/$/Americas Best Value Inn - Medical Center/airport,0.52,0.48,0.0
A Traveler/$/$/Courtyard By Marriott Downtown Boise,0.57,0.43,0.0
A Traveler/$/$/Fairfield Inn and Suites By Marriott Idaho Falls,0.52,0.48,0.0
A Traveler/$/$/Greenstay Hotel and Suites,0.53,0.47,0.0
A Traveler/$/$/Residence Inn By Marriott Fort Lauderdale Weston,0.63,0.37,0.0
A Traveler/$/$/Quinta Real Acapulco,0.67,0.32,0.01
A Traveler/$/$/Sportsmen's Lodge,0.2,0.8,0.0
A Traveler/$/$/Drury Inn and Suites Columbus Convention Center,0.71,0.29,0.0
A Traveler/$/$/Elba Sara Beach & Golf Resort,0.63,0.35,0.02
A Traveler/$/$/Good Nite Inn Rohnert Park,0.1,0.9,0.0
A Traveler/$/$/Comfort Suites Fort Pierce,0.59,0.41,0.0
A Traveler/$/$/Best Western Hartford Hotel & Suites,0.59,0.41,0.0
A Traveler/$/$/La Quinta Inn and Suites Meridian,0.26,0.74,0.0
A Traveler/$/$/Residence Inn By Marriott Tucson Williams Centre,0.65,0.34,0.01
A Traveler/$/$/Red Roof Inn Cedar Rapids,0.28,0.72,0.0
A Traveler/$/$/Casa Del Mar Inn Bandb,0.61,0.39,0.0
A Traveler/$/$/Holiday Inn Express and Suites Gahanna/columbus Airport E,0.59,0.41,0.0
A Traveler/$/$/Econo Lodge Miles City,0.61,0.38,0.01
A Traveler/$/$/Ibis Wuerzburg City,0.62,0.37,0.01
