utente/$/$/hotel,somma
A Traveler/$/$/Holiday Inn Express and Suites Gahanna/columbus Airport E,1.04
A Traveler/$/$/Econo Lodge Miles City,1.02
A Traveler/$/$/Ibis Wuerzburg City,1.03
A Traveler/$/$/Hotel Eug��ne En Ville,1.01
A Traveler/$/$/Comfort Inn and Suites,1.02
A Traveler/$/$/City Express Irapuato,1.04
A Traveler/$/$/Castle Kona Reef,0.89
A Traveler/$/$/The Savoy Hotel,1.1
A Traveler/$/$/Holiday Inn Express & Suites Crossville,1.0
A Traveler/$/$/Holiday Inn Express Hotel and Suites Hesperia,1.01
A Traveler/$/$/Best Western Saint-etienne Aeroport,1.06
A Traveler/$/$/Holiday Inn Victorville,1.04
A Traveler/$/$/Quality Inn and Suites Big Rapids,0.97
A Traveler/$/$/Inturotel Esmeralda Park,1.14
A Traveler/$/$/Knights Inn Carmel Hill,0.63
A Traveler/$/$/Summit At Big Sky,1.02
A Traveler/$/$/Holiday Inn Express Hotel and Suites Cambridge,1.1
A Traveler/$/$/Holiday Inn Express Hotel & Suites Emporia,0.97
A Traveler/$/$/Cherokee Lodge Bed and Breakfast,1.03
A Traveler/$/$/Quality Inn Gulfport,0.53
A Traveler/$/$/Residence Inn By Marriott Deptford,0.97
A Traveler/$/$/Holiday Inn Express Hotel and Suites Meadowlands Area,1.03
Maud/$/$/Hotel Russo Palace,0.47
Julie/$/$/Hotel Russo Palace,0.44
Julie/$/$/Best Western Plus Waterville Grand Hotel,0.44
Julie/$/$/Days Inn Branson / Near The Strip,0.42
Julie/$/$/Country Inn Walker,0.49
Julie/$/$/Hotel De La Ville,0.53
Julie/$/$/Ramada,0.46
Julie/$/$/Holiday Inn Express Hotel and Suites Memphis Southwind,0.41
Julie/$/$/Americinn Coralville,0.4
Julie/$/$/Hyatt Place San Antonio Airport - Quarry Market,0.46
Julie/$/$/Tidewater Inn,0.42
Julie/$/$/Howard Johnson Inn - Newburgh,0.86
Julie/$/$/Comfort Inn Birmingham - Irondale,0.45
Julie/$/$/Ip Casino Resort Spa,0.47
Julie/$/$/Palm Suites,0.44
Julie/$/$/Super 8 Batesville Ar,0.4
Julie/$/$/Hyatt House Colorado Springs,0.47
Julie/$/$/Red Roof Inn Erie,0.46
Julie/$/$/Mccamly Plaza Hotel,0.42
Julie/$/$/Baymont Inn and Suites Boone,0.39
Julie/$/$/Hotel Valencia Santana Row,0.48
Julie/$/$/Drury Inn and Suites Columbus Convention Center,1.23
Julie/$/$/Americas Best Value Inn,0.39
Julie/$/$/Holiday Inn Express Hotel & Suites Emporia,0.52
sungchul/$/$/Hotel Russo Palace,0.47
Doppeldecker/$/$/Hotel Russo Palace,0.43
Couple/$/$/Hotel Russo Palace,0.43
ahsas/$/$/Hotel Russo Palace,1.11
Elisabet/$/$/Hotel Russo Palace,0.43
Mark W/$/$/Hotel Russo Palace,0.43
Mark W/$/$/Hampton Inn Dublin,0.43
Mark W/$/$/Hilton Garden Inn Oconomowoc,0.45
Mrs Gardner/$/$/Hotel Russo Palace,0.43
Simon/$/$/Hotel Russo Palace,0.43
Simon/$/$/Holiday Inn Canyon De Chelly,0.44
